EnrollmentID,StudentID,CourseID,Semester,Year,Grade,FirstName,LastName,Gender,DateOfBirth,Major,GPA
49,1333,COURSE47,Resit,2019,D,Axel,Owen,Male,5/25/2003,Computer Science,3.5
50,1271,COURSE18,2nd semester,2019,A,Ellie,Davies,Female,1/2/1995,Physics,2.76
51,1370,COURSE24,Resit,2024,D,Hannah,Moore,Female,4/16/1999,Mathematics,2.07
52,1243,COURSE33,1st semester,2023,B,Jasmine,Perry,Female,2/14/1990,Biology,2.33
53,1430,COURSE41,1st semester,2023,D,Aaliyah,Harris,Female,3/29/2001,Mathematics,3.38
54,1456,COURSE10,1st semester,2023,B,Josie,Jones,Female,8/26/1997,Biology,3.13
55,1151,COURSE48,Resit,2024,C,Theo,Hussain,Male,6/8/1995,Computer Science,2.09
56,1439,COURSE33,2nd semester,2019,C,Beau,Phillips,Male,3/9/2003,Computer Science,2.23
57,1324,COURSE43,2nd semester,2024,D,Nova,Robinson,Female,12/24/1997,Computer Science,2.76
58,1293,COURSE39,Resit,2019,B,Riley,Russell,Female,7/16/1993,Mathematics,3.99
59,1427,COURSE42,1st semester,2023,A,John,Bailey,Male,10/20/1999,Mathematics,3.37
60,1249,COURSE46,Resit,2020,A,Brooklyn,Clark,Female,4/14/1998,Physics,2.19
61,1196,COURSE27,Resit,2022,C,Gabriella,Wright,Female,10/2/2001,Physics,2.32
62,1333,COURSE44,1st semester,2020,F,Axel,Owen,Male,5/25/2003,Computer Science,3.5
63,1169,COURSE38,1st semester,2022,D,Alfie,Cooper,Male,9/13/1993,Physics,2.48
64,1149,COURSE45,1st semester,2021,A,Weston,Andrews,Male,2/28/1999,Biology,2.78
65,1117,COURSE6,1st semester,2019,D,Florence,Walsh,Female,12/2/2001,Physics,2.06
66,1043,COURSE12,2nd semester,2019,B,August,Stevens,Male,2/12/1999,Mathematics,2.19
67,1448,COURSE5,2nd semester,2024,C,Addison,Watson,Female,11/26/1992,Computer Science,2.65
68,1414,COURSE24,2nd semester,2023,B,Maryam,Howard,Female,7/17/1992,Biology,2.09
69,1267,COURSE41,2nd semester,2022,B,Grayson,Palmer,Male,3/23/2001,Physics,2.92
70,1458,COURSE2,Resit,2020,A,Brielle,Ellis,Female,3/11/1992,Physics,2.33
71,1340,COURSE27,1st semester,2024,B,Lily,Harris,Female,3/19/1996,Physics,2.91
72,1126,COURSE34,Resit,2023,D,Miles,Martin,Male,9/30/1992,Biology,3.12
73,1245,COURSE20,Resit,2020,D,Emily,Moore,Female,3/11/2000,Biology,2.45
74,1249,COURSE32,2nd semester,2023,A,Brooklyn,Clark,Female,4/14/1998,Physics,2.19
75,1138,COURSE37,2nd semester,2024,D,Brooklyn,Cox,Female,7/24/1997,Mathematics,2.86
76,1178,COURSE49,Resit,2023,D,Alice,Collins,Female,9/9/1993,Physics,3.11
77,1039,COURSE24,2nd semester,2020,F,Lucy,Allen,Female,6/6/2004,Mathematics,2.35
78,1169,COURSE31,Resit,2022,F,Alfie,Cooper,Male,9/13/1993,Physics,2.48
79,1104,COURSE9,2nd semester,2022,F,Maya,Brown,Female,11/3/1993,Biology,3.2
80,1019,COURSE26,1st semester,2023,B,Zion,Allen,Male,7/15/2000,Biology,2.75
81,1196,COURSE22,Resit,2024,A,Gabriella,Wright,Female,10/2/2001,Physics,2.32
82,1163,COURSE3,2nd semester,2019,B,Elias,Baker,Male,10/9/1990,Computer Science,2.01
83,1359,COURSE1,Resit,2024,B,Asher,Gray,Male,3/17/2001,Computer Science,2.19
84,1162,COURSE18,1st semester,2021,A,Beau,Hughes,Male,12/12/1993,Physics,3.98
85,1407,COURSE39,2nd semester,2020,A,Jaxon,Phillips,Male,6/10/1996,Computer Science,2.05
86,1279,COURSE41,2nd semester,2024,C,Myles,Fletcher,Male,3/31/1997,Mathematics,3.58
87,1309,COURSE12,1st semester,2024,D,Elena,Morgan,Female,2/15/1999,Biology,3.56
88,1143,COURSE37,2nd semester,2024,C,Adam,Mitchell,Male,6/21/1990,Biology,3.74
89,1191,COURSE22,2nd semester,2020,C,Amara,Palmer,Female,6/21/1994,Mathematics,2.78
90,1047,COURSE42,Resit,2024,A,Mia,Harvey,Female,8/5/2000,Mathematics,3.34
91,1475,COURSE24,Resit,2020,F,Adriel,Mason,Male,11/8/1995,Physics,2.51
92,1450,COURSE22,2nd semester,2024,C,Emery,Smith,Female,11/14/1996,Mathematics,3.94
93,1400,COURSE3,Resit,2021,D,Freddie,Clarke,Male,1/13/1998,Mathematics,3.15
94,1220,COURSE30,2nd semester,2022,A,Atlas,Powell,Male,5/29/2002,Computer Science,3.34
95,1282,COURSE38,Resit,2023,D,Elijah,White,Male,6/17/1998,Physics,2.8
96,1486,COURSE43,Resit,2019,F,Jaxon,Stevens,Male,6/22/2000,Physics,2.25
97,1146,COURSE10,1st semester,2023,A,Madelyn,Ali,Female,5/31/2005,Physics,2.44
98,1113,COURSE14,1st semester,2023,D,Everly,Clark,Female,9/29/1992,Physics,3.92
99,1446,COURSE19,Resit,2024,D,Zara,Phillips,Female,7/12/2003,Mathematics,2.03
100,1467,COURSE30,1st semester,2020,D,Benjamin,Wilkinson,Male,3/18/1990,Mathematics,3.57
101,1283,COURSE36,1st semester,2021,D,Emery,Parker,Female,6/10/1992,Computer Science,3.21
102,1445,COURSE40,Resit,2024,F,Finley,Elliott,Male,1/7/1996,Mathematics,3.68
103,1252,COURSE2,1st semester,2022,A,Zoey,Kennedy,Female,8/14/2001,Mathematics,3.5
104,1163,COURSE13,1st semester,2020,D,Elias,Baker,Male,10/9/1990,Computer Science,2.01
105,1175,COURSE39,Resit,2020,B,Lainey,Powell,Female,10/22/1995,Biology,2.04
106,1277,COURSE3,2nd semester,2019,C,Aurora,Matthews,Female,8/14/2000,Biology,2.24
107,1410,COURSE15,Resit,2022,F,Charlie,Begum,Male,11/16/1997,Computer Science,3.82
108,1314,COURSE13,1st semester,2022,D,Brooklyn,Collins,Female,1/28/1996,Mathematics,2.73
109,1495,COURSE34,2nd semester,2019,B,Mila,White,Female,1/28/1990,Computer Science,2.49
110,1198,COURSE34,Resit,2019,B,Levi,Thomas,Male,7/3/1990,Computer Science,2.29
111,1436,COURSE25,2nd semester,2020,A,Abigail,Hunt,Female,8/29/1991,Biology,2.17
112,1115,COURSE28,1st semester,2024,C,Oaklynn,Jones,Female,12/19/1992,Physics,3.05
113,1092,COURSE19,Resit,2023,A,Oliver,Brooks,Male,4/22/1990,Biology,3.3
114,1205,COURSE5,Resit,2022,D,Anaya,Turner,Female,3/16/1992,Mathematics,2.78
115,1433,COURSE20,Resit,2019,A,Arlo,Shaw,Male,12/13/2002,Computer Science,3.65
116,1152,COURSE27,2nd semester,2024,D,Poppy,Singh,Female,5/11/1994,Physics,3.86
117,1137,COURSE31,Resit,2024,A,Abigail,Graham,Female,11/21/2002,Computer Science,2.28
118,1274,COURSE19,2nd semester,2023,B,Bella,Thomas,Female,11/15/1996,Biology,2.79
119,1106,COURSE12,1st semester,2020,B,Daisy,Khan,Female,5/19/1997,Computer Science,2.97
120,1197,COURSE5,2nd semester,2020,A,Jaxon,Butler,Male,6/13/1995,Mathematics,2.34
121,1262,COURSE4,2nd semester,2021,D,Adam,Murray,Male,8/22/2004,Biology,2.93
122,1015,COURSE49,Resit,2021,D,Roman,Butler,Male,5/28/2000,Computer Science,2.34
123,1178,COURSE33,2nd semester,2024,A,Alice,Collins,Female,9/9/1993,Physics,3.11
124,1106,COURSE27,Resit,2024,D,Daisy,Khan,Female,5/19/1997,Computer Science,2.97
125,1292,COURSE26,Resit,2022,B,Colton,Allen,Male,10/2/1998,Biology,3.51
126,1349,COURSE23,1st semester,2023,B,Caleb,Wood,Male,6/20/1994,Biology,2.83
127,1499,COURSE38,Resit,2020,A,Elsie,Kennedy,Female,11/11/2003,Mathematics,3.47
128,1302,COURSE15,2nd semester,2022,B,Evelyn,Cook,Female,8/6/1998,Physics,2.53
129,1098,COURSE2,Resit,2020,A,Walker,Murphy,Male,3/28/2003,Physics,3.54
130,1225,COURSE7,1st semester,2019,C,Amelia,Ward,Female,9/15/1999,Biology,2.88
131,1034,COURSE9,2nd semester,2020,B,Theodore,Marshall,Male,6/4/1995,Physics,3.12
132,1217,COURSE4,Resit,2019,F,Zoey,Jenkins,Female,5/12/1991,Mathematics,3.28
133,1152,COURSE4,2nd semester,2022,F,Poppy,Singh,Female,5/11/1994,Physics,3.86
134,1298,COURSE4,1st semester,2021,D,Luke,Griffiths,Male,3/4/1990,Biology,2.74
135,1273,COURSE48,2nd semester,2024,A,Luka,Morgan,Male,9/27/1992,Computer Science,3.25
136,1428,COURSE31,2nd semester,2024,F,Hallie,Thompson,Female,8/25/1991,Physics,3.84
137,1281,COURSE32,2nd semester,2022,C,Xavier,Matthews,Male,11/27/2003,Physics,3.44
138,1455,COURSE45,Resit,2021,D,Cameron,Hughes,Male,11/13/1998,Physics,2.24
139,1262,COURSE4,1st semester,2022,C,Adam,Murray,Male,8/22/2004,Biology,2.93
140,1026,COURSE8,2nd semester,2023,A,Liam,Taylor,Male,1/12/1992,Computer Science,2.42
141,1122,COURSE40,1st semester,2022,C,Jasmine,Murray,Female,12/20/2005,Physics,2.23
142,1269,COURSE49,2nd semester,2019,D,Oliver,Lloyd,Male,10/26/1994,Physics,3.48
143,1052,COURSE26,Resit,2023,A,Eliana,Wilson,Female,6/9/2003,Computer Science,2.32
144,1450,COURSE18,Resit,2024,B,Emery,Smith,Female,11/14/1996,Mathematics,3.94
145,1470,COURSE35,1st semester,2024,B,Jace,Ford,Male,7/29/2000,Computer Science,2.46
146,1251,COURSE42,1st semester,2022,C,Julian,Cox,Male,3/9/1996,Physics,2.25
147,1215,COURSE32,Resit,2024,A,Sophie,Wilson,Female,1/10/1996,Computer Science,3.57
148,1473,COURSE40,2nd semester,2020,D,Delilah,Khan,Female,8/23/1997,Biology,3.4
149,1007,COURSE35,2nd semester,2020,C,Oliver,Ali,Male,8/20/1999,Biology,3.17
150,1438,COURSE35,1st semester,2020,F,Millie,Williams,Female,1/26/2001,Biology,3.36
151,1155,COURSE35,1st semester,2021,D,Aaliyah,Powell,Female,1/19/1991,Biology,2.25
152,1388,COURSE34,1st semester,2023,D,Enzo,Jenkins,Male,9/23/1990,Computer Science,3.23
153,1115,COURSE34,1st semester,2020,D,Oaklynn,Jones,Female,12/19/1992,Physics,3.05
154,1221,COURSE15,Resit,2019,C,Aria,Turner,Female,4/20/1994,Mathematics,3.51
155,1500,COURSE26,1st semester,2019,C,Victoria,Richards,Female,10/3/2004,Computer Science,2.85
156,1159,COURSE22,2nd semester,2024,A,Melody,Hussain,Female,7/9/2004,Biology,3.14
157,1075,COURSE46,2nd semester,2019,A,Arabella,Hughes,Female,11/16/1994,Computer Science,2.73
158,1163,COURSE37,1st semester,2021,C,Elias,Baker,Male,10/9/1990,Computer Science,2.01
159,1205,COURSE43,2nd semester,2022,F,Anaya,Turner,Female,3/16/1992,Mathematics,2.78
160,1480,COURSE10,2nd semester,2022,B,Arthur,Miller,Male,8/12/1991,Computer Science,2.66
161,1064,COURSE10,2nd semester,2021,A,Benjamin,Fox,Male,2/27/1999,Biology,3.96
162,1072,COURSE9,Resit,2020,B,Alfie,Phillips,Male,5/27/1999,Biology,2.13
163,1106,COURSE14,2nd semester,2019,F,Daisy,Khan,Female,5/19/1997,Computer Science,2.97
164,1352,COURSE33,2nd semester,2021,C,Isla,Morris,Female,4/17/2003,Physics,2.72
165,1125,COURSE21,1st semester,2021,C,Alexander,Lane,Male,7/5/2003,Biology,3.4
166,1242,COURSE41,1st semester,2019,F,Naomi,Ellis,Female,10/12/1996,Computer Science,3.4
167,1190,COURSE34,2nd semester,2024,F,Joseph,Clarke,Male,1/18/1995,Biology,2.81
168,1003,COURSE39,2nd semester,2021,C,Eli,Fletcher,Male,8/11/2001,Biology,3.04
169,1031,COURSE8,1st semester,2023,D,Bella,Gray,Female,6/29/2003,Physics,2.96
170,1197,COURSE29,1st semester,2021,D,Jaxon,Butler,Male,6/13/1995,Mathematics,2.34
171,1162,COURSE39,Resit,2020,D,Beau,Hughes,Male,12/12/1993,Physics,3.98
172,1221,COURSE29,2nd semester,2023,F,Aria,Turner,Female,4/20/1994,Mathematics,3.51
173,1371,COURSE40,2nd semester,2019,C,Josie,Kennedy,Female,3/29/1996,Mathematics,3.19
174,1320,COURSE5,Resit,2020,C,Clara,Cooper,Female,1/7/2004,Mathematics,3.87
175,1433,COURSE5,2nd semester,2019,F,Arlo,Shaw,Male,12/13/2002,Computer Science,3.65
176,1008,COURSE9,Resit,2019,F,Serenity,Payne,Female,6/18/1997,Mathematics,2.27
177,1043,COURSE47,2nd semester,2022,C,August,Stevens,Male,2/12/1999,Mathematics,2.19
178,1131,COURSE10,Resit,2019,A,Maya,Barker,Female,6/4/1995,Biology,2.33
179,1278,COURSE30,2nd semester,2023,B,Hailey,Thompson,Female,5/6/1992,Physics,3.36
180,1218,COURSE28,2nd semester,2019,D,River,King,Male,3/2/1991,Mathematics,2.22
181,1060,COURSE9,1st semester,2024,C,Lucy,Harris,Female,9/22/2005,Computer Science,2.4
182,1151,COURSE32,1st semester,2019,B,Theo,Hussain,Male,6/8/1995,Computer Science,2.09
183,1110,COURSE14,2nd semester,2023,D,Millie,Bell,Female,6/24/1994,Computer Science,2.85
184,1057,COURSE33,1st semester,2021,D,James,Mason,Male,9/26/1992,Computer Science,2.69
185,1024,COURSE36,2nd semester,2020,F,Christopher,Griffiths,Male,7/31/2003,Computer Science,3.39
186,1157,COURSE47,1st semester,2022,B,Aiden,Elliott,Male,7/22/1997,Computer Science,3.58
187,1113,COURSE14,1st semester,2021,C,Everly,Clark,Female,9/29/1992,Physics,3.92
188,1001,COURSE1,2nd semester,2020,A,Aria,Lane,Female,9/3/2004,Physics,2.33
189,1101,COURSE38,2nd semester,2021,C,Maverick,Robinson,Male,6/25/1999,Biology,3.01
190,1466,COURSE43,Resit,2020,D,Silas,Hussain,Male,4/17/1996,Computer Science,3.62
191,1377,COURSE47,1st semester,2024,C,Luna,Fisher,Female,12/7/1998,Mathematics,3.31
192,1212,COURSE5,2nd semester,2019,F,Tommy,Baker,Male,11/16/1997,Computer Science,3.03
193,1292,COURSE8,1st semester,2022,C,Colton,Allen,Male,10/2/1998,Biology,3.51
194,1256,COURSE17,Resit,2024,C,Ellie,Cox,Female,4/3/2002,Biology,2.94
195,1399,COURSE28,Resit,2024,C,Aaliyah,Singh,Female,7/8/2004,Computer Science,3.85
196,1466,COURSE32,2nd semester,2023,B,Silas,Hussain,Male,4/17/1996,Computer Science,3.62
197,1349,COURSE25,2nd semester,2022,B,Caleb,Wood,Male,6/20/1994,Biology,2.83
198,1442,COURSE39,Resit,2023,F,Ava,Shaw,Female,7/5/1999,Biology,2.9
199,1061,COURSE34,2nd semester,2021,C,Daniel,Palmer,Male,1/15/1990,Biology,3.93
200,1499,COURSE32,2nd semester,2022,F,Elsie,Kennedy,Female,11/11/2003,Mathematics,3.47
201,1084,COURSE5,1st semester,2023,A,Raelynn,Reynolds,Female,11/27/2003,Mathematics,2.56
202,1454,COURSE30,2nd semester,2019,B,Ahmed,Singh,Male,3/7/1997,Computer Science,2.48
203,1071,COURSE47,Resit,2019,C,Delilah,Marshall,Female,3/4/1998,Mathematics,2.07
204,1351,COURSE42,2nd semester,2023,C,Florence,Rogers,Female,6/12/1995,Physics,2.83
205,1438,COURSE23,2nd semester,2021,A,Millie,Williams,Female,1/26/2001,Biology,3.36
206,1351,COURSE14,1st semester,2020,C,Florence,Rogers,Female,6/12/1995,Physics,2.83
207,1243,COURSE31,Resit,2022,D,Jasmine,Perry,Female,2/14/1990,Biology,2.33
208,1415,COURSE11,Resit,2024,D,Reuben,Stevens,Male,6/1/1999,Mathematics,3.78
209,1251,COURSE5,1st semester,2022,A,Julian,Cox,Male,3/9/1996,Physics,2.25
210,1183,COURSE5,2nd semester,2023,D,Oliver,Butler,Male,8/7/2001,Biology,2
211,1110,COURSE34,Resit,2021,B,Millie,Bell,Female,6/24/1994,Computer Science,2.85
212,1146,COURSE24,Resit,2021,C,Madelyn,Ali,Female,5/31/2005,Physics,2.44
213,1488,COURSE39,2nd semester,2022,D,Samuel,Marshall,Male,7/21/1998,Biology,2.14
214,1375,COURSE38,1st semester,2024,A,Julian,Morgan,Male,2/20/1998,Biology,3.49
215,1346,COURSE30,1st semester,2019,F,Eli,Shaw,Male,9/5/1991,Mathematics,2.07
216,1235,COURSE40,Resit,2019,B,Bella,Jenkins,Female,5/12/1999,Computer Science,2.94
217,1409,COURSE36,Resit,2021,F,River,Jones,Male,7/5/1997,Computer Science,2.75
218,1377,COURSE50,Resit,2020,B,Luna,Fisher,Female,12/7/1998,Mathematics,3.31
219,1183,COURSE50,1st semester,2024,F,Oliver,Butler,Male,8/7/2001,Biology,2
220,1408,COURSE33,2nd semester,2023,F,Mila,Mitchell,Female,2/22/1990,Biology,2.65
221,1337,COURSE23,Resit,2022,D,Jacob,Allen,Male,5/5/1994,Mathematics,2.06
222,1015,COURSE48,Resit,2020,B,Roman,Butler,Male,5/28/2000,Computer Science,2.34
223,1197,COURSE11,Resit,2023,A,Jaxon,Butler,Male,6/13/1995,Mathematics,2.34
224,1426,COURSE38,Resit,2023,D,Violet,Baker,Female,11/19/2000,Biology,3.67
225,1008,COURSE50,2nd semester,2022,F,Serenity,Payne,Female,6/18/1997,Mathematics,2.27
226,1124,COURSE3,Resit,2022,A,Oaklynn,Fletcher,Female,11/3/1994,Computer Science,2.93
227,1374,COURSE10,Resit,2022,B,Maverick,Lewis,Male,8/27/2005,Physics,3.9
228,1238,COURSE21,Resit,2022,B,Malachi,Kelly,Male,10/26/1999,Computer Science,2.12
229,1223,COURSE16,1st semester,2022,B,Grace,Lawrence,Female,11/29/1993,Computer Science,2.8
230,1182,COURSE5,Resit,2020,B,Stella,Perry,Female,6/11/1996,Physics,3.78
231,1193,COURSE37,1st semester,2021,F,Addison,Stewart,Female,4/21/1990,Biology,2.33
232,1107,COURSE49,1st semester,2024,F,Clara,Ford,Female,5/5/1997,Biology,2.76
233,1038,COURSE42,2nd semester,2019,F,Valentina,O'Brien,Female,6/27/2003,Physics,2.42
234,1358,COURSE11,2nd semester,2019,D,Lyla,Mitchell,Female,4/22/2000,Physics,2.85
235,1072,COURSE23,Resit,2024,C,Alfie,Phillips,Male,5/27/1999,Biology,2.13
236,1075,COURSE37,Resit,2023,A,Arabella,Hughes,Female,11/16/1994,Computer Science,2.73
237,1465,COURSE13,2nd semester,2024,F,Archie,Bailey,Male,12/9/1996,Computer Science,3.82
238,1439,COURSE27,Resit,2019,C,Beau,Phillips,Male,3/9/2003,Computer Science,2.23
239,1306,COURSE44,1st semester,2019,C,George,Powell,Male,10/28/1995,Computer Science,2.8
240,1217,COURSE41,2nd semester,2022,B,Zoey,Jenkins,Female,5/12/1991,Mathematics,3.28
241,1245,COURSE41,2nd semester,2023,A,Emily,Moore,Female,3/11/2000,Biology,2.45
242,1469,COURSE12,1st semester,2020,D,Jade,Powell,Female,2/10/2001,Biology,3.68
243,1270,COURSE45,Resit,2024,C,Cooper,Mitchell,Male,2/23/2001,Mathematics,2.45
244,1317,COURSE19,2nd semester,2019,A,Anaya,Walker,Female,11/19/1991,Mathematics,2.6
245,1388,COURSE25,1st semester,2022,C,Enzo,Jenkins,Male,9/23/1990,Computer Science,3.23
246,1193,COURSE23,Resit,2021,D,Addison,Stewart,Female,4/21/1990,Biology,2.33
247,1442,COURSE29,1st semester,2021,B,Ava,Shaw,Female,7/5/1999,Biology,2.9
248,1092,COURSE35,1st semester,2022,F,Oliver,Brooks,Male,4/22/1990,Biology,3.3
249,1319,COURSE39,1st semester,2023,C,Caleb,Turner,Male,11/14/1998,Computer Science,3.46
250,1034,COURSE2,1st semester,2019,D,Theodore,Marshall,Male,6/4/1995,Physics,3.12
251,1146,COURSE39,1st semester,2020,B,Madelyn,Ali,Female,5/31/2005,Physics,2.44
252,1492,COURSE15,2nd semester,2021,C,Carter,Baker,Male,1/21/1996,Biology,3.9
253,1116,COURSE38,2nd semester,2021,D,Naomi,Day,Female,11/23/1990,Physics,3.82
254,1322,COURSE6,1st semester,2023,B,Maeve,Day,Female,4/2/2001,Physics,2.44
255,1384,COURSE50,Resit,2019,D,Ayla,Baker,Female,2/1/1998,Physics,3.6
256,1207,COURSE27,2nd semester,2020,D,Wyatt,Barnes,Male,7/30/2002,Computer Science,2.22
257,1186,COURSE48,Resit,2021,C,Maya,Reynolds,Female,1/12/2003,Physics,3.92
258,1070,COURSE48,1st semester,2023,A,Victoria,Rogers,Female,12/11/1991,Physics,3.36
259,1270,COURSE26,1st semester,2023,C,Cooper,Mitchell,Male,2/23/2001,Mathematics,2.45
260,1403,COURSE8,1st semester,2020,F,Ryan,Lawrence,Male,5/23/1997,Mathematics,3.51
261,1203,COURSE17,2nd semester,2022,B,Harry,West,Male,8/13/2004,Physics,2.47
262,1003,COURSE19,Resit,2019,B,Eli,Fletcher,Male,8/11/2001,Biology,3.04
263,1497,COURSE22,Resit,2023,F,Cameron,Elliott,Male,5/24/2003,Computer Science,2.55
264,1463,COURSE30,Resit,2019,B,Fatima,Griffiths,Female,1/9/1996,Mathematics,2.49
265,1242,COURSE27,2nd semester,2024,C,Naomi,Ellis,Female,10/12/1996,Computer Science,3.4
266,1245,COURSE33,1st semester,2020,D,Emily,Moore,Female,3/11/2000,Biology,2.45
267,1002,COURSE28,Resit,2023,C,Rosie,Edwards,Female,5/13/2001,Computer Science,2.07
268,1095,COURSE41,2nd semester,2022,D,Maria,Johnson,Female,5/15/1998,Computer Science,2.78
269,1319,COURSE50,1st semester,2020,C,Caleb,Turner,Male,11/14/1998,Computer Science,3.46
270,1475,COURSE2,Resit,2024,F,Adriel,Mason,Male,11/8/1995,Physics,2.51
271,1013,COURSE24,1st semester,2020,C,Walker,Pearson,Male,7/24/1996,Biology,2.93
272,1438,COURSE14,1st semester,2019,A,Millie,Williams,Female,1/26/2001,Biology,3.36
273,1057,COURSE48,Resit,2022,C,James,Mason,Male,9/26/1992,Computer Science,2.69
274,1007,COURSE16,Resit,2021,F,Oliver,Ali,Male,8/20/1999,Biology,3.17
275,1229,COURSE20,1st semester,2024,F,Isabella,Fisher,Female,3/31/1990,Physics,3.15
276,1390,COURSE29,1st semester,2021,A,Rowan,Campbell,Male,3/17/2003,Physics,3.08
277,1212,COURSE41,2nd semester,2021,A,Tommy,Baker,Male,11/16/1997,Computer Science,3.03
278,1456,COURSE17,Resit,2020,F,Josie,Jones,Female,8/26/1997,Biology,3.13
279,1467,COURSE18,2nd semester,2022,F,Benjamin,Wilkinson,Male,3/18/1990,Mathematics,3.57
280,1339,COURSE50,1st semester,2022,A,Beau,Thompson,Male,5/17/2001,Biology,3.01
281,1211,COURSE49,2nd semester,2022,C,Bella,Lloyd,Female,3/4/1995,Physics,2.77
282,1206,COURSE5,2nd semester,2022,B,Mila,Cook,Female,4/17/2005,Mathematics,2.38
